req_id,type,priority,requirement,source,design_element,test_id,measurement_method,status
FR-INP-01,functional,Must,A user shall be able to submit a URL string for analysis.,stakeholder interview,TBD-Design,TBD-Test,,planned
FR-INP-02,functional,Must,The system shall reject empty submissions and prompt the user to enter a valid URL.,charter,TBD-Design,TBD-Test,,planned
FR-API-01,functional,Must,The system shall display a specific rate-limit error message when the VirusTotal API returns an HTTP 429 status code.,charter,TBD-Design,TBD-Test,,planned
FR-API-02,functional,Must,The system shall abort the VirusTotal API call and display a failure message if a response is not received within 10 seconds.,charter,TBD-Design,TBD-Test,,planned
FR-EVAL-01,functional,Must,"The system shall return a ""cannot be analyzed"" message when the submitted URL resolves to a local intranet address.",charter,TBD-Design,TBD-Test,,planned
FR-EVAL-02,functional,Should,"The system shall classify a URL as ""ambiguous"" if the VirusTotal threshold does not conclusively meet the defined safe or unsafe criteria.",charter,TBD-Design,TBD-Test,,planned
FR-DASH-01,functional,Must,The system shall display a visual loading indicator while the VirusTotal API request is in flight.,stakeholder interview,TBD-Design,TBD-Test,,planned
FR-DASH-02,functional,Should,A user shall be able to submit a new URL directly from the results dashboard without navigating back to the initial submission page.,charter,TBD-Design,TBD-Test,,planned
FR-UI-01,functional,Must,"The system shall display the word ""Safe"" alongside a green visual element when the API risk score falls below the danger threshold.",stakeholder interview,TBD-Design,TBD-Test,,planned
FR-UI-02,functional,Must,"The system shall display the word ""Unsafe"" alongside a red visual element when the API risk score meets the danger threshold.",stakeholder interview,TBD-Design,TBD-Test,,planned
FR-INP-03,functional,Must,"The system shall reject a submitted URL exceeding 2,048 characters.",charter,TBD-Design,TBD-Test,,planned
FR-INP-04,functional,Must,The system shall strip leading and trailing whitespace characters from the URL string prior to validation.,charter,TBD-Design,TBD-Test,,planned
FR-EVAL-03,functional,Could,The system shall follow HTTP redirects to resolve shortened URLs to their final destination before querying VirusTotal.,stakeholder interview,TBD-Design,TBD-Test,,planned
FR-ACT-01,functional,Could,A user shall be able to copy the final verdict text to their operating system clipboard.,charter,TBD-Design,TBD-Test,,planned
FR-SYS-01,functional,Must,The backend server shall exclude the external API key from all network traffic sent to the client browser.,stakeholder interview,TBD-Design,TBD-Test,,planned
FR-SYS-02,functional,Should,The backend server shall write the scanned domain name and the resulting risk score to a local text file.,charter,TBD-Design,TBD-Test,,planned
FR-DASH-03,functional,Should,The system shall display the exact time and date of the completed scan alongside the final verdict.,charter,TBD-Design,TBD-Test,,planned
FR-EVAL-04,functional,Must,The system shall forcibly prepend http:// to submissions that lack a protocol prefix but otherwise contain a valid domain.,charter,TBD-Design,TBD-Test,,planned
NFR-PERF-01,non-functional,Must,The URL scan result page gives an end-to-end response time p95 under 10.0 s with a valid domain submitted over a basic Wi-Fi connection.,Ch4 performance,TBD-Design,TBD-Test,20 manual URL submissions timed via browser tools network tab; record p95 in the measurements log.,planned
NFR-REL-01,non-functional,Must,The running URL scanner app gets a health check pass rate of at least 29 out of 30 consecutive days during the final four weeks on the free hosting tier.,Ch4 reliability,TBD-Design,TBD-Test,A scheduled automated ping that logs pass/fail to a text file.,planned
NFR-USE-01,non-functional,Should,A first-time Corporate Employee user finishes the task in under 30 seconds.,Ch4 usability,TBD-Design,TBD-Test,"Two sessions with a stopwatch; time and find any UI stumbles recorded in notes.",planned
NFR-SEC-01,non-functional,Must,"Exactly 0 shown credentials, API keys, or tokens show up in the repo at any time, or during any user request.",Ch4 security,TBD-Design,TBD-Test,"A local grep search for secrets across the full  history; manual inspection of the browser network tab.",planned
NFR-SEC-02,non-functional,Must,The system stores 0 bytes of user-specific scanned URL history to the server disk or database after a user successfully scans a URL and closes the browser.,Ch4 security,TBD-Design,TBD-Test,Manual review of the backend routing to make sure no database write operations are around for user sessions.,planned
NFR-PRI-01,non-functional,Must,"100% of the time, the UI gives a clear disclaimer right next to the submit button stating: ""Warning: URLs scanned here are shared publicly. Do not submit internal company links.""",Ch4 privacy,TBD-Design,TBD-Test,Manual visual inspection of the deployed URL input form on page load.,planned
NFR-ACC-01,non-functional,Must,"100% of interactive controls are reachable by keyboard alone in a logical order with a focus indicator that can be seen, using only Tab, Shift+Tab, Space, and Enter during the core URL submission and result-copying flow.",Ch4 accessibility,TBD-Design,TBD-Test,"Unplug the mouse; run the scan-and-copy flow; write down every situation the focus ring goes away or a control is skipped.",planned
NFR-ACC-02,non-functional,Must,"Screen reader result announcement happens 100% of the time when the final scan result (Safe, Unsafe, Ambiguous, Error) appears on the screen after the API completes and UI moves from loading.",Ch4 accessibility,TBD-Design,TBD-Test,Run a test URL with a screen reader active.,planned
NFR-ACC-03,non-functional,Must,100% of form input have an associated descriptive text label on the primary URL submission form.,Ch4 accessibility,TBD-Design,TBD-Test,Manual DOM inspection in browser developer tools.,planned
NFR-ACC-04,non-functional,Must,"All body text and important UI text have a ratio of >= 4.5:1 against the background on all UI states and result displays.",Ch4 accessibility,TBD-Design,TBD-Test,Run a WCAG contrast checker tool on the hex codes that I used for the green/red text against the background color of the app.,planned
NFR-ACC-05,non-functional,Must,"0 occurrences of information, severity, or state changes are shown by color alone when displaying the final scan answer.",Ch4 accessibility,TBD-Design,TBD-Test,"Set device running the test's display to grayscale and go through the main URL flow; making sure that the text specifically shows the result without just using the green or red hues.",planned
